192.168.1.152 - - [24/Sep/2022:22:22:19 +0100] "GET /repository/maven-public/software/amazon/awssdk/aws-sdk-java-pom/2.15.79/aws-sdk-java-pom-2.15.79.pom.sha1 HTTP/1.1" 200 - 40 125 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:19 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-bom/1.5.0/smallrye-common-bom-1.5.0.pom HTTP/1.1" 200 - 3921 94 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:20 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-bom/1.5.0/smallrye-common-bom-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 65 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:20 +0100] "GET /repository/maven-public/io/micrometer/micrometer-bom/1.6.3/micrometer-bom-1.6.3.pom HTTP/1.1" 200 - 6791 163 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:20 +0100] "GET /repository/maven-public/io/micrometer/micrometer-bom/1.6.3/micrometer-bom-1.6.3.pom.sha1 HTTP/1.1" 200 - 40 139 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:20 +0100] "GET /repository/maven-public/io/quarkus/quarkus-ide-launcher/1.12.2.Final/quarkus-ide-launcher-1.12.2.Final.pom HTTP/1.1" 200 - 2389 160 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:20 +0100] "GET /repository/maven-public/io/quarkus/quarkus-ide-launcher/1.12.2.Final/quarkus-ide-launcher-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 159 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:21 +0100] "GET /repository/maven-public/io/quarkus/quarkus-development-mode-spi/1.12.2.Final/quarkus-development-mode-spi-1.12.2.Final.pom HTTP/1.1" 200 - 759 147 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:21 +0100] "GET /repository/maven-public/io/quarkus/quarkus-development-mode-spi/1.12.2.Final/quarkus-development-mode-spi-1.12.2.Final.pom.sha1 HTTP/1.1" 200 - 40 147 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:21 +0100] "GET /repository/maven-public/io/smallrye/config/smallrye-config/1.10.2/smallrye-config-1.10.2.pom HTTP/1.1" 200 - 5571 197 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
